number,values_0,values_1,datetime_start,datetime_complete,duration,params_batch_size,params_epoche_count,params_hidden_neurons_count,params_learning_rate,params_use_sigmoid,system_attrs_nsga2:generation,state
74,0.9777530589543938,219.0,2024-11-25 13:09:51.387812,2024-11-25 13:09:54.706887,0 days 00:00:03.319075,1,219,10,0.007,True,1,COMPLETE
75,0.9777530589543938,133.0,2024-11-25 13:09:54.707975,2024-11-25 13:09:56.350909,0 days 00:00:01.642934,2,133,14,0.003,True,1,COMPLETE
76,0.9553571428571429,156.0,2024-11-25 13:09:56.351619,2024-11-25 13:09:57.935587,0 days 00:00:01.583968,4,156,8,0.006,False,1,COMPLETE
77,0.9777530589543938,43.0,2024-11-25 13:09:57.936133,2024-11-25 13:09:58.450189,0 days 00:00:00.514056,2,43,10,0.008,False,1,COMPLETE
78,0.9326599326599326,102.0,2024-11-25 13:09:58.450961,2024-11-25 13:09:59.541612,0 days 00:00:01.090651,3,102,10,0.01,False,1,COMPLETE
79,0.9777530589543938,109.0,2024-11-25 13:09:59.542592,2024-11-25 13:10:00.619328,0 days 00:00:01.076736,5,109,8,0.009000000000000001,False,1,COMPLETE
80,0.9777530589543938,31.0,2024-11-25 13:10:00.620380,2024-11-25 13:10:00.946109,0 days 00:00:00.325729,3,31,14,0.007,False,1,COMPLETE
81,1.0,225.0,2024-11-25 13:10:00.946869,2024-11-25 13:10:03.580037,0 days 00:00:02.633168,2,225,14,0.009000000000000001,False,1,COMPLETE
82,0.9553571428571429,208.0,2024-11-25 13:10:03.581440,2024-11-25 13:10:06.571505,0 days 00:00:02.990065,1,208,11,0.007,False,1,COMPLETE
83,0.9777530589543938,82.0,2024-11-25 13:10:06.572604,2024-11-25 13:10:07.420440,0 days 00:00:00.847836,4,82,7,0.007,False,1,COMPLETE
84,0.9095022624434389,82.0,2024-11-25 13:10:07.420956,2024-11-25 13:10:08.304122,0 days 00:00:00.883166,4,82,7,0.01,True,1,COMPLETE
85,0.9777530589543938,122.0,2024-11-25 13:10:08.305099,2024-11-25 13:10:10.130285,0 days 00:00:01.825186,1,122,14,0.007,True,1,COMPLETE
